0,Manchester United,83.0,28.0,5.0,2006-2007
1,Chelsea,64.0,24.0,3.0,2006-2007
2,Liverpool,57.0,20.0,10.0,2006-2007
3,Arsenal,63.0,19.0,8.0,2006-2007
4,Tottenham Hotspur,57.0,17.0,12.0,2006-2007
5,Bolton Wanderers,47.0,16.0,14.0,2006-2007
6,Reading,52.0,16.0,15.0,2006-2007
7,Blackburn Rovers,52.0,15.0,16.0,2006-2007
8,Everton,52.0,15.0,10.0,2006-2007
9,Portsmouth,45.0,14.0,12.0,2006-2007
10,Middlesbrough,44.0,12.0,16.0,2006-2007
11,West Ham United,35.0,12.0,21.0,2006-2007
12,Aston Villa,43.0,11.0,10.0,2006-2007
13,Manchester City,29.0,11.0,18.0,2006-2007
14,Newcastle United,38.0,11.0,17.0,2006-2007
15,Sheffield United,32.0,10.0,20.0,2006-2007
16,Wigan Athletic,37.0,10.0,20.0,2006-2007
17,Charlton Athletic,34.0,8.0,20.0,2006-2007
18,Fulham,38.0,8.0,15.0,2006-2007
19,Watford,29.0,5.0,20.0,2006-2007
20,Manchester United,80.0,27.0,5.0,2007-2008
21,Chelsea,65.0,25.0,3.0,2007-2008
22,Arsenal,74.0,24.0,3.0,2007-2008
23,Liverpool,67.0,21.0,4.0,2007-2008
24,Everton,55.0,19.0,11.0,2007-2008
25,Aston Villa,71.0,16.0,10.0,2007-2008
26,Portsmouth,48.0,16.0,13.0,2007-2008
27,Blackburn Rovers,50.0,15.0,10.0,2007-2008
28,Manchester City,45.0,15.0,13.0,2007-2008
29,West Ham United,42.0,13.0,15.0,2007-2008
30,Newcastle United,45.0,11.0,17.0,2007-2008
31,Sunderland,36.0,11.0,21.0,2007-2008
32,Tottenham Hotspur,66.0,11.0,14.0,2007-2008
33,Middlesbrough,43.0,10.0,16.0,2007-2008
34,Reading,41.0,10.0,22.0,2007-2008
35,Wigan Athletic,34.0,10.0,18.0,2007-2008
36,Bolton Wanderers,36.0,9.0,19.0,2007-2008
37,Birmingham City,46.0,8.0,19.0,2007-2008
38,Fulham,38.0,8.0,18.0,2007-2008
39,Derby County,20.0,1.0,29.0,2007-2008
40,Manchester United,68.0,28.0,4.0,2008-2009
41,Chelsea,68.0,25.0,5.0,2008-2009
42,Liverpool,77.0,25.0,2.0,2008-2009
43,Arsenal,68.0,20.0,6.0,2008-2009
44,Aston Villa,54.0,17.0,10.0,2008-2009
45,Everton,55.0,17.0,9.0,2008-2009
46,Manchester City,58.0,15.0,18.0,2008-2009
47,Fulham,39.0,14.0,13.0,2008-2009
48,Tottenham Hotspur,45.0,14.0,15.0,2008-2009
49,West Ham United,42.0,14.0,15.0,2008-2009
50,Stoke City,38.0,12.0,17.0,2008-2009
51,Wigan Athletic,34.0,12.0,17.0,2008-2009
52,Bolton Wanderers,41.0,11.0,19.0,2008-2009
53,Blackburn Rovers,40.0,10.0,17.0,2008-2009
54,Portsmouth,38.0,10.0,17.0,2008-2009
55,Sunderland,34.0,9.0,20.0,2008-2009
56,Hull City,39.0,8.0,19.0,2008-2009
57,West Bromwich Albion,36.0,8.0,22.0,2008-2009
58,Middlesbrough,28.0,7.0,20.0,2008-2009
59,Newcastle United,40.0,7.0,18.0,2008-2009
60,Chelsea,103.0,27.0,6.0,2009-2010
61,Manchester United,86.0,27.0,7.0,2009-2010
62,Arsenal,83.0,23.0,9.0,2009-2010
63,Tottenham Hotspur,67.0,21.0,10.0,2009-2010
64,Liverpool,61.0,18.0,11.0,2009-2010
65,Manchester City,73.0,18.0,7.0,2009-2010
66,Aston Villa,52.0,17.0,8.0,2009-2010
67,Everton,60.0,16.0,9.0,2009-2010
68,Birmingham City,38.0,13.0,14.0,2009-2010
69,Blackburn Rovers,41.0,13.0,14.0,2009-2010
70,Fulham,39.0,12.0,16.0,2009-2010
71,Stoke City,34.0,11.0,13.0,2009-2010
72,Sunderland,48.0,11.0,16.0,2009-2010
73,Bolton Wanderers,42.0,10.0,19.0,2009-2010
74,Wigan Athletic,37.0,9.0,20.0,2009-2010
75,Wolverhampton Wanderers,32.0,9.0,18.0,2009-2010
76,Burnley,42.0,8.0,24.0,2009-2010
77,West Ham United,47.0,8.0,19.0,2009-2010
78,Portsmouth,34.0,7.0,24.0,2009-2010
79,Hull City,34.0,6.0,20.0,2009-2010
80,Manchester United,78.0,23.0,4.0,2010-2011
81,Chelsea,69.0,21.0,9.0,2010-2011
82,Manchester City,60.0,21.0,9.0,2010-2011
83,Arsenal,72.0,19.0,8.0,2010-2011
84,Liverpool,59.0,17.0,14.0,2010-2011
85,Tottenham Hotspur,55.0,16.0,8.0,2010-2011
86,Everton,51.0,13.0,10.0,2010-2011
87,Stoke City,46.0,13.0,18.0,2010-2011
88,Aston Villa,48.0,12.0,14.0,2010-2011
89,Bolton Wanderers,52.0,12.0,16.0,2010-2011
90,Sunderland,45.0,12.0,15.0,2010-2011
91,West Bromwich Albion,56.0,12.0,15.0,2010-2011
92,Blackburn Rovers,46.0,11.0,17.0,2010-2011
93,Fulham,49.0,11.0,11.0,2010-2011
94,Newcastle United,56.0,11.0,14.0,2010-2011
95,Wolverhampton Wanderers,46.0,11.0,20.0,2010-2011
96,Blackpool,55.0,10.0,19.0,2010-2011
97,Wigan Athletic,40.0,9.0,14.0,2010-2011
98,Birmingham City,37.0,8.0,15.0,2010-2011
99,West Ham United,43.0,7.0,19.0,2010-2011
